module_id	null_set_id	genes	matching_rule
flagship_obesity	matched_size_target_available_01	CLSTN2;FOXP1;PLEKHB1;LDB2;CAMK2A;CBLN4;CPNE5;CAMK2B	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_02	SPEF2;SYT7;PLEKHB1;CDK14;USH1C;SPAG1;PAX6;IKZF1	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_03	SPAG1;FOXP1;CAMK2A;SPEF2;CLSTN2;ABCC8;MAPK8IP2;PRKCZ	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_04	RASGEF1A;ANLN;HHATL;PRKCZ;USH1C;IKZF1;CLSTN2;VASP	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_05	USH1C;RTN4R;CBLN4;FOXP1;AGPAT4;PRKCZ;KIAA1755;ANLN	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_06	CBLN4;CAMK1D;LDB2;CPNE5;SPEF2;AGPAT4;PRKCZ;RFX4	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_07	KIAA1755;RASGEF1A;RFX4;OSBP2;CBLN4;CDK14;MAPK8IP2;LDB2	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_08	SPAG1;PLEKHB1;VASP;USH1C;RFX4;RASGEF1A;CAMK2A;CDK14	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_09	PAX6;ADRB1;HHATL;MAPK8IP2;CBLN4;OSBP2;CAMK2A;SPEF2	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_10	CPNE5;RASGRF1;SYT7;CLSTN2;AGPAT4;ERBB4;SPAG1;CDK14	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_11	SPEF2;RASGEF1A;LDB2;VASP;HHATL;ADRB1;OSBP2;KIAA1755	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_12	PLEKHB1;OSBP2;SPEF2;SYT7;LDB2;ANLN;CDK14;HHATL	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_13	CPNE5;MAPK8IP2;HHATL;KIAA1755;USH1C;PLEKHB1;CLSTN2;CDK14	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_14	CAMK2B;RASGEF1A;LDB2;HHATL;ANLN;USH1C;CLSTN2;SYT7	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_15	HHATL;ADRB1;AGPAT4;CAMK2B;RASGRF1;CLSTN2;CBLN4;CAMK1D	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_16	RTN4R;LDB2;SPAG1;SPEF2;PAX6;ANLN;CAMK1D;CDK14	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_17	CAMK2A;RASGEF1A;CDK14;HHATL;VASP;CPNE5;LDB2;ADRB1	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_18	THSD7A;PLEKHB1;USH1C;CAMK2B;LDB2;PRKCZ;PAX6;IKZF1	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_19	RTN4R;OSBP2;CLSTN2;CPNE5;ABCC8;THSD7A;SPAG1;AGPAT4	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_20	RFX4;CBLN4;CAMK2A;CPNE5;HHATL;KIAA1755;RTN4R;SYT7	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_21	CBLN4;MAPK8IP2;SPAG1;RASGEF1A;CDK14;PRKCZ;VASP;ABCC8	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_22	ABCC8;USH1C;CBLN4;FOXP1;SYT7;PLEKHB1;RFX4;CAMK2B	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_23	USH1C;AGPAT4;HHATL;CAMK1D;RFX4;ERBB4;IKZF1;KIAA1755	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_24	CAMK2B;FOXP1;PLEKHB1;CDK14;CAMK2A;LDB2;ABCC8;AGPAT4	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
flagship_obesity	matched_size_target_available_25	OSBP2;ABCC8;CAMK2B;RFX4;CBLN4;HHATL;ERBB4;ADRB1	target_gene_set_size=8;target_availability=GO_mappable;source=high_affinity_core_edges
